Course total (Real),Last downloaded from this course,Quiz: Quiz 1 (Real),Quiz: Quiz 2 (Real),Quiz: Quiz 3 (Real),Quiz: Quiz 4 (Real),Quiz: Quiz 5 (Real),Quiz: Quiz 6 (Real),Quiz: Quiz 7 (Real),Quiz: Quiz 8 (Real),Quiz: Quiz 9 (Real),Quiz: Quiz 10 (Real),Lab activities (Lab 1-8) (Real),Assignment: Assessment 1 (Real),Assignment: Assessment 2 (Real),Final Exam (Real)
66.10045,0,69.61,83.81,84.77,100.0,56.67,70.96,82.89,57.67,67.69,85.91,63.94,92.06,59.44,58.79
76.54595,0,58.79,78.35,26.55,74.86,67.34,100.0,78.35,89.66,97.32,45.46,73.65,52.88,84.02,82.89
66.42474999999999,0,82.89,56.06,53.5,87.41,84.77,92.06,73.65,53.91,60.62,72.23,59.38,49.33,95.93,64.82
81.04705,0,84.77,46.12,82.74,84.02,97.3,64.68,37.4,56.06,79.17,92.06,63.01,69.81,60.94,90.93
85.5334,0,68.57,80.05,60.5,93.52,78.35,74.86,70.78,65.66,65.66,84.71,88.41,64.68,56.87,100.0
82.77555,0,55.71,72.23,54.62,35.29,87.41,87.41,67.69,100.0,72.23,90.93,79.93,84.02,78.35,84.02
65.29022499999999,0,58.1,64.88,69.51,4.09,57.22,67.05,47.71,58.79,56.87,56.67,45.46,56.06,49.33,73.65
74.728075,0,45.46,88.41,87.51,89.66,69.81,58.79,68.52,64.57,69.09,53.91,63.01,88.41,67.05,72.79
54.132875,0,70.96,66.16,73.33,70.96,58.79,79.17,97.32,70.08,80.29,58.79,85.91,55.71,78.35,45.46
82.77289999999999,0,51.76,73.33,87.39,90.93,89.66,100.0,58.79,66.16,85.91,72.13,78.35,74.15,52.88,93.52
86.30324999999999,0,69.81,67.69,84.77,82.98,82.98,87.41,87.41,64.57,62.68,52.9,47.71,64.82,87.51,95.27
89.80292499999999,0,57.22,68.52,53.98,64.68,64.68,87.51,90.93,87.51,64.57,63.97,65.66,85.91,87.39,93.52
59.2633,0,69.81,92.06,66.58,70.96,63.97,87.51,93.52,82.89,55.97,26.55,80.29,74.15,63.97,51.76
78.43527499999999,0,70.78,77.48,51.76,47.71,68.52,72.23,57.67,70.08,70.96,64.82,80.29,80.05,97.32,73.65
46.637074999999996,0,74.86,71.47,26.55,78.35,97.3,49.33,37.4,67.69,95.93,73.65,67.05,53.91,67.05,37.4
67.266975,0,63.94,97.32,56.67,53.91,82.74,60.62,97.3,88.41,87.39,69.09,45.46,37.4,57.22,80.29
66.60065,0,70.5,59.38,78.31,56.06,51.76,69.51,56.67,69.51,88.41,78.35,92.06,61.93,60.5,68.57
63.624275,0,56.06,54.62,89.66,53.5,83.81,90.93,69.81,47.71,85.91,52.9,54.62,100.0,58.79,52.88
90.95685,0,84.02,60.5,84.77,90.93,55.97,97.3,55.71,64.57,89.66,87.51,75.08,72.23,84.71,100.0
83.1465,0,79.17,77.48,79.93,71.47,70.96,100.0,64.57,88.41,67.34,56.67,52.9,70.96,88.72,87.39
70.625625,0,4.09,61.93,63.01,92.06,53.91,44.25,78.35,60.5,67.34,84.71,73.33,84.02,65.66,67.69
73.731875,0,95.27,65.66,56.06,85.91,77.48,50.19,87.41,37.4,26.55,46.12,80.05,68.57,87.39,72.23
74.369625,0,82.89,74.86,60.5,55.71,92.06,70.96,71.47,63.97,88.72,69.31,97.3,54.62,74.86,79.93
66.79044999999999,0,93.52,71.47,26.55,70.96,64.82,69.09,53.5,69.51,51.76,97.3,53.91,100.0,84.77,51.76
71.222,0,90.93,88.41,70.96,93.52,56.67,67.69,51.76,60.5,80.05,69.61,80.05,71.47,79.93,68.52
70.894375,0,74.86,87.39,82.74,80.29,64.57,73.33,64.57,87.51,60.5,80.29,55.71,79.93,88.41,63.94
72.03659999999999,0,84.77,35.29,69.61,51.76,35.29,55.71,4.09,65.66,53.5,65.66,69.61,59.44,60.5,80.05
89.48962499999999,0,68.52,55.71,66.16,64.57,87.39,26.55,44.25,35.29,69.81,58.1,63.97,87.51,95.93,90.93
66.216875,0,54.62,59.38,53.91,58.1,97.3,52.88,63.94,75.08,79.17,84.77,64.88,69.61,84.02,60.62
53.762425,0,49.33,68.57,60.94,72.23,93.52,45.46,87.51,65.66,79.14,53.91,69.51,73.65,52.88,46.12
82.12164999999999,0,87.41,57.67,45.46,52.88,4.09,78.35,84.02,51.76,69.09,61.93,37.4,84.77,54.62,90.93
83.25815,0,84.02,82.89,52.88,70.78,84.71,57.22,59.38,89.66,26.55,56.67,80.29,49.33,64.82,100.0
77.750775,0,89.66,51.76,71.47,57.22,75.08,80.05,58.1,46.12,70.96,69.09,67.34,84.71,69.61,78.35
53.130900000000004,0,66.16,82.98,69.51,67.34,100.0,100.0,82.89,63.01,92.06,53.91,72.79,53.91,26.55,57.67
53.743175,0,100.0,58.1,88.72,68.52,82.89,64.68,60.5,67.34,88.72,60.5,63.97,80.29,37.4,47.71
49.534825,0,59.38,63.97,100.0,87.51,95.93,72.13,72.13,97.32,84.71,44.25,92.06,53.5,46.12,46.12
57.812675,0,93.52,44.43,37.4,59.44,72.79,61.93,54.62,50.19,59.44,55.71,53.5,56.87,83.81,51.76
70.949275,0,44.25,72.79,70.96,53.91,84.02,87.41,68.57,93.52,55.71,71.47,85.91,78.35,82.98,64.88
69.322425,0,68.52,79.93,56.87,63.01,58.79,52.88,70.78,55.97,60.62,58.1,73.33,72.13,83.81,64.88
67.768925,0,64.68,53.91,78.31,46.12,87.41,64.88,51.76,84.71,54.62,84.77,56.06,69.61,72.13,66.58
80.04915,0,79.93,64.57,61.93,60.62,67.34,54.62,58.79,93.52,53.5,59.44,75.08,69.61,58.79,89.66
66.85607499999999,0,44.25,69.51,56.87,44.25,88.72,79.93,87.39,47.71,88.72,70.78,63.97,63.97,61.93,69.13
66.198025,0,83.81,64.88,50.19,95.27,85.91,70.78,52.88,53.91,68.52,51.76,78.31,79.17,73.65,59.44
48.073575000000005,0,72.13,51.76,63.01,73.65,100.0,66.16,64.82,62.68,57.22,100.0,52.88,69.09,58.1,37.4
58.579825,0,62.68,64.57,70.5,51.76,84.71,78.31,67.05,59.38,72.23,63.94,51.76,71.47,59.44,53.98
82.40504999999999,0,61.93,78.35,89.66,60.62,47.71,50.19,70.5,63.94,56.06,74.86,66.58,100.0,77.48,79.14
64.13235,0,84.77,44.43,60.94,84.02,52.88,53.5,65.66,58.79,60.94,69.31,82.89,87.41,70.96,53.91
56.287949999999995,0,71.47,69.09,69.81,97.32,63.01,69.31,85.91,58.79,67.69,62.68,87.41,56.87,45.46,56.87
61.781600000000005,0,63.94,55.71,83.81,79.14,59.44,44.25,80.05,64.82,82.89,80.29,90.93,64.68,87.39,52.88
