Course total (Real),Last downloaded from this course,Quiz: Voluntary Quiz (Real),Assignment: Assessment 1 (Real),Assignment: Assessment 2 (Real),Assignment: Assessment 3 (Real),Assignment: Assessment 4 (Real),Assignment: Oral Exam (Real)
92.355,0,62.35,88.92,66.45,74.77,87.87,100.0
66.90100000000001,0,72.39,69.73,42.84,60.79,40.48,75.39
72.74950000000001,0,60.94,85.52,80.75,90.59,80.04,66.67
69.5665,0,72.26,62.37,67.44,90.59,67.7,67.5
54.2425,0,55.37,73.9,50.82,40.48,80.66,51.31
60.3935,0,47.49,73.04,57.33,89.01,48.56,57.31
64.426,0,98.65,43.73,87.42,63.58,98.23,57.41
65.196,0,94.02,69.73,68.33,100.0,76.12,57.33
79.10549999999999,0,68.27,69.73,68.79,93.61,97.71,76.32
59.566,0,80.75,55.03,51.61,100.0,77.43,52.17
62.7725,0,74.74,68.99,66.82,90.1,74.91,55.6
73.30600000000001,0,61.91,71.89,81.14,100.0,61.69,69.89
71.58599999999998,0,48.56,78.67,36.1,66.82,62.12,78.69
58.108000000000004,0,98.23,74.97,96.86,55.37,55.9,51.61
89.71549999999999,0,62.58,93.61,73.9,75.3,90.02,94.02
92.675,0,65.22,87.42,70.03,70.59,92.42,100.0
75.9845,0,50.82,75.42,51.21,69.73,76.32,80.75
78.571,0,76.39,63.58,90.1,78.69,78.13,78.0
69.934,0,68.22,71.58,94.72,74.91,87.15,62.58
81.36049999999999,0,71.68,83.51,74.74,61.93,66.82,87.44
65.6365,0,74.17,86.54,66.31,93.48,80.66,57.33
87.532,0,65.76,54.99,87.15,86.54,81.4,91.19
76.16650000000001,0,61.69,50.82,87.17,97.41,84.39,71.89
89.72200000000001,0,87.87,69.89,78.67,62.12,82.99,98.23
80.8585,0,47.49,83.51,83.78,80.75,74.89,81.14
70.50800000000001,0,48.56,69.46,74.97,47.98,65.88,74.08
79.1025,0,71.78,55.47,68.22,66.25,96.86,81.84
62.1145,0,62.25,67.88,68.05,47.38,81.84,59.99
74.0975,0,73.9,94.72,66.82,62.37,80.5,74.45
48.406,0,71.01,34.02,61.29,68.27,74.37,40.48
50.5115,0,90.1,78.69,66.33,61.93,61.91,42.4
71.112,0,78.67,66.31,85.31,62.35,67.7,71.17
62.294,0,79.77,74.91,99.1,70.82,42.4,57.41
79.89,0,63.06,84.26,66.45,92.33,74.74,80.5
63.709,0,80.75,56.45,66.25,87.17,50.82,62.25
63.065999999999995,0,40.13,87.87,69.41,82.11,75.3,55.37
80.2305,0,87.28,71.78,74.74,40.48,65.22,90.15
75.932,0,82.11,64.04,69.89,89.66,47.49,80.04
68.24050000000001,0,70.82,90.15,73.04,76.73,44.13,68.22
69.8485,0,86.55,47.98,85.31,59.99,74.91,69.89
63.856500000000004,0,54.99,47.38,57.33,75.42,71.78,63.13
52.3455,0,57.1,50.7,63.58,61.93,63.13,47.61
61.09,0,80.75,76.39,96.86,69.79,70.59,51.61
59.14149999999999,0,74.77,79.77,92.42,100.0,83.51,42.4
91.157,0,80.5,81.84,65.88,89.01,65.76,100.0
73.10849999999999,0,61.93,96.86,81.14,84.39,61.93,70.03
79.11699999999999,0,62.35,78.0,97.71,69.41,40.48,83.78
59.214999999999996,0,80.75,82.11,40.13,44.13,64.42,61.91
72.47300000000001,0,77.05,51.21,98.23,68.99,64.62,71.89
89.395,0,42.43,75.39,87.15,88.92,80.04,92.33
64.2475,0,50.7,62.58,64.01,42.84,50.7,69.79
55.819,0,79.77,76.14,74.77,99.1,30.61,48.56
68.84949999999999,0,68.27,89.01,70.59,81.14,64.04,65.88
70.1095,0,81.4,96.86,65.22,78.13,60.88,68.99
76.347,0,74.08,92.33,68.27,62.12,100.0,74.91
64.053,0,47.98,36.1,48.56,85.31,48.56,67.7
75.8205,0,56.45,87.44,69.46,62.35,66.25,79.45
68.452,0,84.94,67.5,76.63,74.45,60.94,67.5
70.09899999999999,0,61.4,71.01,100.0,93.61,69.46,61.91
73.40700000000001,0,93.48,61.69,95.5,71.17,74.99,71.01
54.8025,0,42.84,78.69,47.49,69.46,61.4,50.82
77.969,0,94.02,43.73,51.21,30.61,42.84,97.41
54.1925,0,91.19,52.17,71.89,90.1,75.39,42.84
70.82750000000001,0,48.65,64.42,51.13,81.84,84.26,70.59
61.0045,0,90.59,53.72,74.89,68.05,57.33,58.91
63.145,0,86.55,72.39,84.26,60.88,92.42,55.03
76.88149999999999,0,74.97,67.16,81.14,54.25,66.13,82.11
60.31,0,80.5,51.31,74.89,76.39,61.19,56.15
63.5745,0,73.9,81.4,51.31,58.9,54.99,66.13
75.116,0,57.39,82.99,55.37,84.94,68.53,77.05
75.136,0,55.03,72.39,78.67,92.48,57.1,74.91
54.4495,0,82.23,63.13,86.55,69.79,78.13,42.84
69.2285,0,40.48,50.82,60.79,100.0,90.02,64.01
75.1495,0,84.26,78.0,57.1,70.82,76.73,78.13
59.3615,0,62.35,57.31,86.55,66.31,50.7,55.6
75.06450000000001,0,69.41,68.33,62.58,47.49,61.84,83.78
81.89150000000001,0,81.4,93.48,85.31,81.14,51.21,85.31
85.4245,0,74.89,66.31,47.38,64.04,88.92,95.5
71.1815,0,36.1,75.42,61.29,47.49,68.79,76.39
65.6135,0,61.82,81.4,48.56,71.17,94.72,61.69
